Best Array,Sample Name
a550810-4323468-051118-542_F10,Schneider_C162
a550810-4323468-051118-542_F11,Schneider_C163
a550810-4323468-051118-543_F12,Schneider_C164
a550810-4323468-051118-542_G01,Schneider_C165
a550810-4323468-051118-543_G02,Schneider_C166
a550810-4323468-051118-543_G03,Schneider_C167
a550810-4323468-051118-540_A01,Schneider_D172
a550810-4323468-051118-540_A02,Schneider_D173
a550810-4323468-051118-540_A03,Schneider_D174
a550810-4323468-051118-540_A04,Schneider_D175
a550810-4323468-051118-540_A05,Schneider_D176
a550810-4323468-051118-540_A06,Schneider_D177
a550810-4323468-051118-540_A07,Schneider_D178
a550810-4323468-051118-540_A08,Schneider_D179
a550810-4323468-051118-540_A09,Schneider_D180
a550810-4323468-051118-540_A10,Schneider_D181
a550810-4323468-051118-540_A11,Schneider_D182
a550810-4323468-051118-540_A12,Schneider_D183
a550810-4323468-051118-540_B01,Schneider_D184
a550810-4323468-051118-540_B02,Schneider_D185
a550810-4323468-051118-540_B03,Schneider_D186
a550810-4323468-051118-540_B04,Schneider_D187
a550810-4323468-051118-540_B05,Schneider_D188
a550810-4323468-051118-540_B06,Schneider_D189
a550810-4323468-051118-540_B07,Schneider_D190
a550810-4323468-051118-540_B08,Schneider_D191
a550810-4323468-051118-540_B09,Schneider_D192
a550810-4323468-051118-540_B10,Schneider_D193
a550810-4323468-051118-540_B11,Schneider_D194
a550810-4323468-051118-540_B12,Schneider_D195
a550810-4323468-051118-540_C01,Schneider_D196
a550810-4323468-051118-540_C02,Schneider_D197
a550810-4323468-051118-540_C03,Schneider_D198
a550810-4323468-051118-540_C04,Schneider_D199
a550810-4323468-051118-540_C05,Schneider_D200
a550810-4323468-051118-540_C06,Schneider_D201
a550810-4323468-051118-540_C07,Schneider_D202
a550810-4323468-051118-540_C08,Schneider_D203
a550810-4323468-051118-540_C09,Schneider_D204
a550810-4323468-051118-540_C10,Schneider_D205
a550810-4323468-051118-540_C11,Schneider_D206
a550810-4323468-051118-540_C12,Schneider_D207
a550810-4323468-051118-540_D01,Schneider_D208
a550810-4323468-051118-540_D02,Schneider_D209
a550810-4323468-051118-540_D03,Schneider_D210
a550810-4323468-051118-540_D04,Schneider_D211
a550810-4323468-051118-540_D05,Schneider_D212
a550810-4323468-051118-540_D06,Schneider_D213
a550810-4323468-051118-540_D07,Schneider_D214
a550810-4323468-051118-540_D08,Schneider_D215
a550810-4323468-051118-540_D09,Schneider_D216
a550810-4323468-051118-540_D10,Schneider_D217
a550810-4323468-051118-540_D11,Schneider_D218
a550810-4323468-051118-540_D12,Schneider_D219
a550810-4323468-051118-540_E01,Schneider_D220
a550810-4323468-051118-540_E02,Schneider_D221
a550810-4323468-051118-540_E03,Schneider_D222
a550810-4323468-051118-540_E04,Schneider_D223
a550810-4323468-051118-540_E05,Schneider_D224
a550810-4323468-051118-540_E06,Schneider_D225
a550810-4323468-051118-540_E07,Schneider_D226
a550810-4323468-051118-540_E08,Schneider_D227
a550810-4323468-051118-540_E09,Schneider_D228
a550810-4323468-051118-540_E10,Schneider_D229
a550810-4323468-051118-540_E11,Schneider_D230
a550810-4323468-051118-540_E12,Schneider_D231
a550810-4323468-051118-540_F01,Schneider_D232
a550810-4323468-051118-540_F02,Schneider_D233
a550810-4323468-051118-540_F03,Schneider_D234
a550810-4323468-051118-540_F04,Schneider_D235
a550810-4323468-051118-540_F05,Schneider_D236
a550810-4323468-051118-540_F06,Schneider_D237
a550810-4323468-051118-540_F07,Schneider_D238
a550810-4323468-051118-540_F08,Schneider_D239
a550810-4323468-051118-540_F09,Schneider_D240
a550810-4323468-051118-540_F10,Schneider_D241
a550810-4323468-051118-540_F11,Schneider_D242
a550810-4323468-051118-540_F12,Schneider_D243
a550810-4323468-051118-540_G01,Schneider_D244
a550810-4323468-051118-540_G02,Schneider_D245
a550810-4323468-051118-540_G03,Schneider_D246
a550810-4323468-051118-540_G04,Schneider_D247
a550810-4350750-012419-163_A01,Schneider_E248
a550810-4350750-012419-163_A02,Schneider_E249
a550810-4350750-012419-163_A03,Schneider_E250
a550810-4350750-012419-163_A04,Schneider_E251
a550810-4350750-012419-163_A05,Schneider_E252
a550810-4350750-012419-163_A06,Schneider_E253
a550810-4350750-012419-163_A07,Schneider_E254
a550810-4350750-012419-163_A08,Schneider_E255
a550810-4350750-012419-163_A09,Schneider_E256
a550810-4350750-012419-163_A10,Schneider_E257
a550810-4350750-012419-163_A11,Schneider_E258
a550810-4350750-012419-163_A12,Schneider_E259
a550810-4350750-012419-163_B01,Schneider_E260
a550810-4350750-012419-163_B02,Schneider_E261
a550810-4350750-012419-163_B03,Schneider_E262
a550810-4350750-012419-163_B04,Schneider_E263
a550810-4350750-012419-163_B05,Schneider_E264
a550810-4350750-012419-163_B06,Schneider_E265
a550810-4350750-012419-163_B07,Schneider_E266
a550810-4350750-012419-163_B08,Schneider_E267
a550810-4350750-012419-163_B09,Schneider_E268
a550810-4350750-012419-163_B10,Schneider_E269
a550810-4350750-012419-163_B11,Schneider_E270
a550810-4350750-012419-163_B12,Schneider_E271
a550810-4350750-012419-163_C01,Schneider_E272
a550810-4350750-012419-163_C02,Schneider_E273
a550810-4350750-012419-163_C03,Schneider_E274
a550810-4350750-012419-163_C04,Schneider_E275
a550810-4350750-012419-163_C05,Schneider_E276
a550810-4350750-012419-163_C06,Schneider_E277
a550810-4350750-012419-163_C07,Schneider_E278
a550810-4350750-012419-163_C08,Schneider_E279
a550810-4350750-012419-163_C09,Schneider_E280
a550810-4350750-012419-163_C10,Schneider_E281
a550810-4350750-012419-163_C11,Schneider_E282
a550810-4350750-012419-163_C12,Schneider_E283
a550810-4350750-012419-163_D01,Schneider_E284
a550810-4350750-012419-163_D02,Schneider_E285
a550810-4350750-012419-163_D03,Schneider_E286
a550810-4350750-012419-163_D04,Schneider_E287
a550810-4350750-012419-163_D05,Schneider_E288
a550810-4350750-012419-163_D06,Schneider_E289
a550810-4350750-012419-163_D07,Schneider_E290
a550810-4350750-012419-163_D08,Schneider_E291
a550810-4350750-012419-163_D09,Schneider_E292
a550810-4350750-012419-163_D10,Schneider_E293
a550810-4350750-012419-163_D11,Schneider_E294
a550810-4350750-012419-163_D12,Schneider_E295
a550810-4350750-012419-163_E01,Schneider_E296
a550810-4350750-012419-163_E02,Schneider_E297
a550810-4350750-012419-163_E03,Schneider_E298
a550810-4350750-012419-163_E04,Schneider_E299
